Service Operation,baseCRBQName,Service Domain,Role Definition
UpBQ Update credit submission details,Credit,Customer Offer,Role for Update credit submission details service operation
ReBQ Retrieve details about the credit submission,Credit,Customer Offer,Role for Retrieve details about the credit submission service operation
UpBQ Update submitted materials for the underwriting decision,Underwriting,Customer Offer,Role for Update submitted materials for the underwriting decision service operation
ReBQ Retrieve details about the underwriting decision,Underwriting,Customer Offer,Role for Retrieve details about the underwriting decision service operation
UpBQ Update details submitted for compliance checks,Compliance,Customer Offer,Role for Update details submitted for compliance checks service operation
ReBQ Retrieve details of the regulatory compliance assessment,Compliance,Customer Offer,Role for Retrieve details of the regulatory compliance assessment service operation
UpBQ Update details of submitted materials for audit checks,Audit,Customer Offer,Role for Update details of submitted materials for audit checks service operation
ReBQ Retrieve details of the compliance assessment,Audit,Customer Offer,Role for Retrieve details of the compliance assessment service operation
UpBQ Update details of the collateral allocation,Collateral,Customer Offer,Role for Update details of the collateral allocation service operation
"EcBQ Accept, reject etc. the collateral allocation",Collateral,Customer Offer,"Role for Accept, reject etc. the collateral allocation service operation"
ReBQ Retrieve details about the collateral allocation,Collateral,Customer Offer,Role for Retrieve details about the collateral allocation service operation
UpBQ Update details of the offer asset and liability booking,Booking,Customer Offer,Role for Update details of the offer asset and liability booking service operation
ReBQ Retrieve details about the booking,Booking,Customer Offer,Role for Retrieve details about the booking service operation
UpBQ Update details about the correspondence and documents accessed and created by the offer,CorrespondenceandDocuments,Customer Offer,Role for Update details about the correspondence and documents accessed and created by the offer service operation
"EcBQ Accept, verify, etc. correspondence and documents",CorrespondenceandDocuments,Customer Offer,"Role for Accept, verify, etc. correspondence and documents service operation"
ReBQ Retrieve details about correspondence and documents from the customer offer procedure,CorrespondenceandDocuments,Customer Offer,Role for Retrieve details about correspondence and documents from the customer offer procedure service operation
UpBQ Update details of the customer agreement,Agreement,Customer Offer,Role for Update details of the customer agreement service operation
"EcBQ Accept, verify, etc. actions against the customer and product agreements",Agreement,Customer Offer,"Role for Accept, verify, etc. actions against the customer and product agreements service operation"
ReBQ Retrieve details about the agreements impacted and created as part of the offer,Agreement,Customer Offer,Role for Retrieve details about the agreements impacted and created as part of the offer service operation
UpBQ Update details of the product initiation request,ProductInitialization,Customer Offer,Role for Update details of the product initiation request service operation
ReBQ Retrieve details about the product initiation request,ProductInitialization,Customer Offer,Role for Retrieve details about the product initiation request service operation
EvCR Evaluate a proposed interactive transaction for authorization,InteractiveTransactionAssessment,Transaction Authorization,Role for Evaluate a proposed interactive transaction for authorization service operation
UpCR Update details of a proposed transaction for authorization,InteractiveTransactionAssessment,Transaction Authorization,Role for Update details of a proposed transaction for authorization service operation
ExCR Execute an automated action for transaction authorization (e.g. upload data),InteractiveTransactionAssessment,Transaction Authorization,Role for Execute an automated action for transaction authorization (e.g. upload data) service operation
RqCR Request manual intervention (e.g. engage a specialist),InteractiveTransactionAssessment,Transaction Authorization,Role for Request manual intervention (e.g. engage a specialist) service operation
ReCR Retrieve details about an interactive transaction authorization,InteractiveTransactionAssessment,Transaction Authorization,Role for Retrieve details about an interactive transaction authorization service operation
Control Trade Settlement Procedure,TradeSettlementProcedure,Trade Settlement,Role for Control Trade Settlement Procedure service operation
Exchange Trade Settlement Procedure,TradeSettlementProcedure,Trade Settlement,Role for Exchange Trade Settlement Procedure service operation
Execute Trade Settlement Procedure,TradeSettlementProcedure,Trade Settlement,Role for Execute Trade Settlement Procedure service operation
Initiate Trade Settlement Procedure,TradeSettlementProcedure,Trade Settlement,Role for Initiate Trade Settlement Procedure service operation
Notify Trade Settlement Procedure,TradeSettlementProcedure,Trade Settlement,Role for Notify Trade Settlement Procedure service operation
Request Trade Settlement Procedure,TradeSettlementProcedure,Trade Settlement,Role for Request Trade Settlement Procedure service operation
Retrieve Trade Settlement Procedure,TradeSettlementProcedure,Trade Settlement,Role for Retrieve Trade Settlement Procedure service operation
Update Trade Settlement Procedure,TradeSettlementProcedure,Trade Settlement,Role for Update Trade Settlement Procedure service operation
Exchange Market Trade Cash Settlement Workstep,MarketTradeCashSettlement,Trade Settlement,Role for Exchange Market Trade Cash Settlement Workstep service operation
Exchange Market Trade Securities Settlement Workstep,MarketTradeSecuritiesSettlement,Trade Settlement,Role for Exchange Market Trade Securities Settlement Workstep service operation
Exchange Market Trade Settlement Confirmation Workstep,MarketTradeSettlementConfirmation,Trade Settlement,Role for Exchange Market Trade Settlement Confirmation Workstep service operation
Execute Market Trade Cash Settlement Workstep,MarketTradeCashSettlement,Trade Settlement,Role for Execute Market Trade Cash Settlement Workstep service operation
Execute Market Trade Securities Settlement Workstep,MarketTradeSecuritiesSettlement,Trade Settlement,Role for Execute Market Trade Securities Settlement Workstep service operation
Execute Market Trade Settlement Confirmation Workstep,MarketTradeSettlementConfirmation,Trade Settlement,Role for Execute Market Trade Settlement Confirmation Workstep service operation
Initiate Market Trade Cash Settlement Workstep,MarketTradeCashSettlement,Trade Settlement,Role for Initiate Market Trade Cash Settlement Workstep service operation
Initiate Market Trade Securities Settlement Workstep,MarketTradeSecuritiesSettlement,Trade Settlement,Role for Initiate Market Trade Securities Settlement Workstep service operation
Initiate Market Trade Settlement Confirmation Workstep,MarketTradeSettlementConfirmation,Trade Settlement,Role for Initiate Market Trade Settlement Confirmation Workstep service operation
Notify Market Trade Cash Settlement Workstep,MarketTradeCashSettlement,Trade Settlement,Role for Notify Market Trade Cash Settlement Workstep service operation
Notify Market Trade Securities Settlement Workstep,MarketTradeSecuritiesSettlement,Trade Settlement,Role for Notify Market Trade Securities Settlement Workstep service operation
Notify Market Trade Settlement Confirmation Workstep,MarketTradeSettlementConfirmation,Trade Settlement,Role for Notify Market Trade Settlement Confirmation Workstep service operation
Request Market Trade Cash Settlement Workstep,MarketTradeCashSettlement,Trade Settlement,Role for Request Market Trade Cash Settlement Workstep service operation
Request Market Trade Securities Settlement Workstep,MarketTradeSecuritiesSettlement,Trade Settlement,Role for Request Market Trade Securities Settlement Workstep service operation
Request Market Trade Settlement Confirmation Workstep,MarketTradeSettlementConfirmation,Trade Settlement,Role for Request Market Trade Settlement Confirmation Workstep service operation
Retrieve Market Trade Cash Settlement Workstep,MarketTradeCashSettlement,Trade Settlement,Role for Retrieve Market Trade Cash Settlement Workstep service operation
Retrieve Market Trade Securities Settlement Workstep,MarketTradeSecuritiesSettlement,Trade Settlement,Role for Retrieve Market Trade Securities Settlement Workstep service operation
Retrieve Market Trade Settlement Confirmation Workstep,MarketTradeSettlementConfirmation,Trade Settlement,Role for Retrieve Market Trade Settlement Confirmation Workstep service operation
Update Market Trade Cash Settlement Workstep,MarketTradeCashSettlement,Trade Settlement,Role for Update Market Trade Cash Settlement Workstep service operation
Update Market Trade Securities Settlement Workstep,MarketTradeSecuritiesSettlement,Trade Settlement,Role for Update Market Trade Securities Settlement Workstep service operation
Update Market Trade Settlement Confirmation Workstep,MarketTradeSettlementConfirmation,Trade Settlement,Role for Update Market Trade Settlement Confirmation Workstep service operation
InCR Register a new direct debit,DirectDebitMandateDirectoryEntry,Direct Debit Mandate,Role for Register a new direct debit service operation
UpCR Update details of an existing collection of DD mandates maintained for a corporate customer,DirectDebitMandateDirectoryEntry,Direct Debit Mandate,Role for Update details of an existing collection of DD mandates maintained for a corporate customer service operation
CoCR Control a direct debit mandate collection (e.g. suspend),DirectDebitMandateDirectoryEntry,Direct Debit Mandate,Role for Control a direct debit mandate collection (e.g. suspend) service operation
ReCR Retrieve details about a collection of DD mandates,DirectDebitMandateDirectoryEntry,Direct Debit Mandate,Role for Retrieve details about a collection of DD mandates service operation
ReBQ Register a customer's DD mandate for a corporate customer,MandateRegistration,Direct Debit Mandate,Role for Register a customer's DD mandate for a corporate customer service operation
UpBQ Update details of the customer's DD mandate,MandateRegistration,Direct Debit Mandate,Role for Update details of the customer's DD mandate service operation
"EcBQ Accept, verify etc. a customer's DD mandate",MandateRegistration,Direct Debit Mandate,"Role for Accept, verify etc. a customer's DD mandate service operation"
ExBQ Execute an automated action against the DD Mandate (e.g. test proposed payment),MandateRegistration,Direct Debit Mandate,Role for Execute an automated action against the DD Mandate (e.g. test proposed payment) service operation
ExBQ Request intervention with a customer's DD Mandate (e.g. retrieve paperwork),MandateRegistration,Direct Debit Mandate,Role for Request intervention with a customer's DD Mandate (e.g. retrieve paperwork) service operation
ReBQ Retrieve details about a customer's DD mandate,MandateRegistration,Direct Debit Mandate,Role for Retrieve details about a customer's DD mandate service operation
InCR Initiate a new card account,CreditCardFacility,Credit Card,Role for Initiate a new card account service operation
UpCR Update details about a card account,CreditCardFacility,Credit Card,Role for Update details about a card account service operation
CoCR Control the processing of a card account (e.g. suspend),CreditCardFacility,Credit Card,Role for Control the processing of a card account (e.g. suspend) service operation
ReCR Retrieve details about a card account,CreditCardFacility,Credit Card,Role for Retrieve details about a card account service operation
ReBQ Retrieve details about interest accrued to an account,Interest,Credit Card,Role for Retrieve details about interest accrued to an account service operation
UpBQ Update a fee transaction applied to a card account,Fees,Credit Card,Role for Update a fee transaction applied to a card account service operation
ExBQ Apply fees to a card account,Fees,Credit Card,Role for Apply fees to a card account service operation
ReBQ Retrieve details about fees applied to an account,Fees,Credit Card,Role for Retrieve details about fees applied to an account service operation
UpBQ Update details of a billing transaction (invoice),Billing,Credit Card,Role for Update details of a billing transaction (invoice) service operation
ExBQ Execute the billing process for a card account,Billing,Credit Card,Role for Execute the billing process for a card account service operation
ReBQ Retrieve details about a billing process for a card account,Billing,Credit Card,Role for Retrieve details about a billing process for a card account service operation
UpBQ Update a repayment transaction (bill payment),Repayment,Credit Card,Role for Update a repayment transaction (bill payment) service operation
ExBQ Execute a repayment transaction against the card account,Repayment,Credit Card,Role for Execute a repayment transaction against the card account service operation
ReBQ Retrieve detail about a repayment transaction,Repayment,Credit Card,Role for Retrieve detail about a repayment transaction service operation
UpBQ Update a card transaction,CardTransaction,Credit Card,Role for Update a card transaction service operation
"EcBQ Verify, accept etc. a card account transaction",CardTransaction,Credit Card,"Role for Verify, accept etc. a card account transaction service operation"
ExBQ Execute a card account transaction,CardTransaction,Credit Card,Role for Execute a card account transaction service operation
ReBQ Retrieve details about a card account transaction,CardTransaction,Credit Card,Role for Retrieve details about a card account transaction service operation
InBQ Initiate/enable a type of device for the card account,IssuedDevice,Credit Card,Role for Initiate/enable a type of device for the card account service operation
UpBQ Update details about an issued device,IssuedDevice,Credit Card,Role for Update details about an issued device service operation
"EcBQ Accept, reject, verify etc. an issued device",IssuedDevice,Credit Card,"Role for Accept, reject, verify etc. an issued device service operation"
RqBQ Request the issuance of a device (e.g. a new card),IssuedDevice,Credit Card,Role for Request the issuance of a device (e.g. a new card) service operation
ReBQ Retrieve details about an issued device,IssuedDevice,Credit Card,Role for Retrieve details about an issued device service operation
InBQ Initiate a credit plan linked to the card account,CreditPlan,Credit Card,Role for Initiate a credit plan linked to the card account service operation
UpBQ Update details of the credit plan,CreditPlan,Credit Card,Role for Update details of the credit plan service operation
RqBQ Request manual intervention with a credit plan,CreditPlan,Credit Card,Role for Request manual intervention with a credit plan service operation
ReBQ Retrieve details about a linked credit plan,CreditPlan,Credit Card,Role for Retrieve details about a linked credit plan service operation
CrCR Create the management plan for the contact center,ContactCenterManagementPlan,Contact Center Management,Role for Create the management plan for the contact center service operation
UpCR Update aspects of the contact center management plan,ContactCenterManagementPlan,Contact Center Management,Role for Update aspects of the contact center management plan service operation
RqCR Request manual intervention with the plan (e.g. reprioritize activities),ContactCenterManagementPlan,Contact Center Management,Role for Request manual intervention with the plan (e.g. reprioritize activities) service operation
ReCR Retrieve details about the contact center management plan,ContactCenterManagementPlan,Contact Center Management,Role for Retrieve details about the contact center management plan service operation
UpBQ Update details of the activity analysis for the contact center,Performance,Contact Center Management,Role for Update details of the activity analysis for the contact center service operation
RqBQ Request manual intervention in the contact center performance analysis (e.g. revise projections),Performance,Contact Center Management,Role for Request manual intervention in the contact center performance analysis (e.g. revise projections) service operation
ReBQ Retrieve details about the contact center activity analysis,Performance,Contact Center Management,Role for Retrieve details about the contact center activity analysis service operation
CrBQ Create a service troubleshooting activity (to address major production issue),Troubleshooting,Contact Center Management,Role for Create a service troubleshooting activity (to address major production issue) service operation
UpBQ Update details of a troubleshooting plan item,Troubleshooting,Contact Center Management,Role for Update details of a troubleshooting plan item service operation
RqBQ Request manual intervention to a troubleshooting action,Troubleshooting,Contact Center Management,Role for Request manual intervention to a troubleshooting action service operation
ReBQ Retrieve details about troubleshooting activity,Troubleshooting,Contact Center Management,Role for Retrieve details about troubleshooting activity service operation
InCR Initiate customer campaign processing,CustomerCampaignProcedure,Customer Campaign Execution,Role for Initiate customer campaign processing service operation
ReCR Retrieve details about an active customer campaign,CustomerCampaignProcedure,Customer Campaign Execution,Role for Retrieve details about an active customer campaign service operation
UpBQ Update a campaign candidate list,CandidateSelection,Customer Campaign Execution,Role for Update a campaign candidate list service operation
ReBQ Retrieve details about a campaign candidate list,CandidateSelection,Customer Campaign Execution,Role for Retrieve details about a campaign candidate list service operation
InBQ Initiate a campaign execution task,Execution,Customer Campaign Execution,Role for Initiate a campaign execution task service operation
UpBQ Update details of a campaign execution task,Execution,Customer Campaign Execution,Role for Update details of a campaign execution task service operation
RqBQ Request manual intervention in a campaign execution task,Execution,Customer Campaign Execution,Role for Request manual intervention in a campaign execution task service operation
ReBQ Retrieve details about a campaign execution task,Execution,Customer Campaign Execution,Role for Retrieve details about a campaign execution task service operation
InBQ Initiate campaign execution analysis,AnalysisFeedback,Customer Campaign Execution,Role for Initiate campaign execution analysis service operation
UpBQ Update details of campaign execution activity/performance analysis,AnalysisFeedback,Customer Campaign Execution,Role for Update details of campaign execution activity/performance analysis service operation
ReBQ Request manual intervention in campaign analysis,AnalysisFeedback,Customer Campaign Execution,Role for Request manual intervention in campaign analysis service operation
ReBQ Retrieve details about customer campaign analysis activity,AnalysisFeedback,Customer Campaign Execution,Role for Retrieve details about customer campaign analysis activity service operation
UpCR Update details of the product inventory distribution service,ProductInventoryAllocation,Product Inventory Item Management,Role for Update details of the product inventory distribution service service operation
RqCR Request manual intervention with the inventory distribution service,ProductInventoryAllocation,Product Inventory Item Management,Role for Request manual intervention with the inventory distribution service service operation
ReCR Retrieve details about the product inventory distribution,ProductInventoryAllocation,Product Inventory Item Management,Role for Retrieve details about the product inventory distribution service operation
PrBQ Obtain the provision of product inventory,Assignment,Product Inventory Item Management,Role for Obtain the provision of product inventory service operation
UpBQ Update details of a scheduled item assignment,Assignment,Product Inventory Item Management,Role for Update details of a scheduled item assignment service operation
RqBQ Request manual intervention with a product inventory item assignment,Assignment,Product Inventory Item Management,Role for Request manual intervention with a product inventory item assignment service operation
ReBQ Retrieve details about a product inventory item's distribution,Assignment,Product Inventory Item Management,Role for Retrieve details about a product inventory item's distribution service operation
Control Financial Instrument Directory Entry,FinancialInstrumentDirectoryEntry,Financial Instrument Reference Data Management,Role for Control Financial Instrument Directory Entry service operation
Execute Financial Instrument Directory Entry,FinancialInstrumentDirectoryEntry,Financial Instrument Reference Data Management,Role for Execute Financial Instrument Directory Entry service operation
Notify Financial Instrument Directory Entry,FinancialInstrumentDirectoryEntry,Financial Instrument Reference Data Management,Role for Notify Financial Instrument Directory Entry service operation
Register Financial Instrument Directory Entry,FinancialInstrumentDirectoryEntry,Financial Instrument Reference Data Management,Role for Register Financial Instrument Directory Entry service operation
Request Financial Instrument Directory Entry,FinancialInstrumentDirectoryEntry,Financial Instrument Reference Data Management,Role for Request Financial Instrument Directory Entry service operation
Retrieve Financial Instrument Directory Entry,FinancialInstrumentDirectoryEntry,Financial Instrument Reference Data Management,Role for Retrieve Financial Instrument Directory Entry service operation
Update Financial Instrument Directory Entry,FinancialInstrumentDirectoryEntry,Financial Instrument Reference Data Management,Role for Update Financial Instrument Directory Entry service operation
Execute Debt Instrument property,DebtInstrument,Financial Instrument Reference Data Management,Role for Execute Debt Instrument property service operation
Execute Equity Instrument property,EquityInstrument,Financial Instrument Reference Data Management,Role for Execute Equity Instrument property service operation
Execute Futures Instrument property,FuturesInstrument,Financial Instrument Reference Data Management,Role for Execute Futures Instrument property service operation
Execute Option Instrument property,OptionInstrument,Financial Instrument Reference Data Management,Role for Execute Option Instrument property service operation
Execute Warrant Instrument property,WarrantInstrument,Financial Instrument Reference Data Management,Role for Execute Warrant Instrument property service operation
Notify Debt Instrument property,DebtInstrument,Financial Instrument Reference Data Management,Role for Notify Debt Instrument property service operation
Notify Equity Instrument property,EquityInstrument,Financial Instrument Reference Data Management,Role for Notify Equity Instrument property service operation
Notify Futures Instrument property,FuturesInstrument,Financial Instrument Reference Data Management,Role for Notify Futures Instrument property service operation
Notify Option Instrument property,OptionInstrument,Financial Instrument Reference Data Management,Role for Notify Option Instrument property service operation
Notify Warrant Instrument property,WarrantInstrument,Financial Instrument Reference Data Management,Role for Notify Warrant Instrument property service operation
Register Debt Instrument property,DebtInstrument,Financial Instrument Reference Data Management,Role for Register Debt Instrument property service operation
Register Equity Instrument property,EquityInstrument,Financial Instrument Reference Data Management,Role for Register Equity Instrument property service operation
Register Futures Instrument property,FuturesInstrument,Financial Instrument Reference Data Management,Role for Register Futures Instrument property service operation
Register Option Instrument property,OptionInstrument,Financial Instrument Reference Data Management,Role for Register Option Instrument property service operation
Register Warrant Instrument property,WarrantInstrument,Financial Instrument Reference Data Management,Role for Register Warrant Instrument property service operation
Request Debt Instrument property,DebtInstrument,Financial Instrument Reference Data Management,Role for Request Debt Instrument property service operation
Request Equity Instrument property,EquityInstrument,Financial Instrument Reference Data Management,Role for Request Equity Instrument property service operation
Request Futures Instrument property,FuturesInstrument,Financial Instrument Reference Data Management,Role for Request Futures Instrument property service operation
Request Option Instrument property,OptionInstrument,Financial Instrument Reference Data Management,Role for Request Option Instrument property service operation
Request Warrant Instrument property,WarrantInstrument,Financial Instrument Reference Data Management,Role for Request Warrant Instrument property service operation
Retrieve Debt Instrument property,DebtInstrument,Financial Instrument Reference Data Management,Role for Retrieve Debt Instrument property service operation
Retrieve Equity Instrument property,EquityInstrument,Financial Instrument Reference Data Management,Role for Retrieve Equity Instrument property service operation
Retrieve Futures Instrument property,FuturesInstrument,Financial Instrument Reference Data Management,Role for Retrieve Futures Instrument property service operation
Retrieve Option Instrument property,OptionInstrument,Financial Instrument Reference Data Management,Role for Retrieve Option Instrument property service operation
Retrieve Warrant Instrument property,WarrantInstrument,Financial Instrument Reference Data Management,Role for Retrieve Warrant Instrument property service operation
Update Debt Instrument property,DebtInstrument,Financial Instrument Reference Data Management,Role for Update Debt Instrument property service operation
Update Equity Instrument property,EquityInstrument,Financial Instrument Reference Data Management,Role for Update Equity Instrument property service operation
Update Futures Instrument property,FuturesInstrument,Financial Instrument Reference Data Management,Role for Update Futures Instrument property service operation
Update Option Instrument property,OptionInstrument,Financial Instrument Reference Data Management,Role for Update Option Instrument property service operation
Update Warrant Instrument property,WarrantInstrument,Financial Instrument Reference Data Management,Role for Update Warrant Instrument property service operation
InCR Initiate a position keeping transaction log,FinancialPositionLog,Position Keeping,Role for Initiate a position keeping transaction log service operation
"UpCR Update details for an active financial transaction log, including reflecting an account block",FinancialPositionLog,Position Keeping,"Role for Update details for an active financial transaction log, including reflecting an account block service operation"
CoCR Control the processing of the log,FinancialPositionLog,Position Keeping,Role for Control the processing of the log service operation
ReCR Retrieve information about the log,FinancialPositionLog,Position Keeping,Role for Retrieve information about the log service operation
UpBQ Update details of a captured financial transaction,FinancialTransactionCapture,Position Keeping,Role for Update details of a captured financial transaction service operation
CaBQ Capture details of a financial transaction in the log,FinancialTransactionCapture,Position Keeping,Role for Capture details of a financial transaction in the log service operation
ReBQ Retrieve details of financial transactions captured in the log,FinancialTransactionCapture,Position Keeping,Role for Retrieve details of financial transactions captured in the log service operation
PrCR Initial provision and registering of a point of sale (POS) device,CardPOSDeviceAllocation,Card Terminal Administration,Role for Initial provision and registering of a point of sale (POS) device service operation
UpCR Update details about the POS device,CardPOSDeviceAllocation,Card Terminal Administration,Role for Update details about the POS device service operation
ReCR Retrieve details about the POS device,CardPOSDeviceAllocation,Card Terminal Administration,Role for Retrieve details about the POS device service operation
PrBQ Provide/allocate the device to a merchant,Allocation,Card Terminal Administration,Role for Provide/allocate the device to a merchant service operation
UpBQ Update merchant allocation details,Allocation,Card Terminal Administration,Role for Update merchant allocation details service operation
CaBQ Capture details about the allocation (e.g. report out of service state),Allocation,Card Terminal Administration,Role for Capture details about the allocation (e.g. report out of service state) service operation
GrBQ Obtain usage authorization grant for the device (may restrict usage),Allocation,Card Terminal Administration,Role for Obtain usage authorization grant for the device (may restrict usage) service operation
ReBQ Retrieve details about the POS device allocation,Allocation,Card Terminal Administration,Role for Retrieve details about the POS device allocation service operation
Control Factoring Facility,FactoringFacility,Factoring,Role for Control Factoring Facility service operation
Exchange Factoring Facility,FactoringFacility,Factoring,Role for Exchange Factoring Facility service operation
Execute Factoring Facility,FactoringFacility,Factoring,Role for Execute Factoring Facility service operation
Initiate Factoring Facility,FactoringFacility,Factoring,Role for Initiate Factoring Facility service operation
Notify Factoring Facility,FactoringFacility,Factoring,Role for Notify Factoring Facility service operation
Request Factoring Facility,FactoringFacility,Factoring,Role for Request Factoring Facility service operation
Retrieve Factoring Facility,FactoringFacility,Factoring,Role for Retrieve Factoring Facility service operation
Update Factoring Facility,FactoringFacility,Factoring,Role for Update Factoring Facility service operation
Exchange Account Receivable Factoring Fulfillment,AccountReceivableFactoring,Factoring,Role for Exchange Account Receivable Factoring Fulfillment service operation
Exchange Account Receivable Processing Fulfillment,AccountReceivableProcessing,Factoring,Role for Exchange Account Receivable Processing Fulfillment service operation
Exchange Accounts Receivable Evaluation Fulfillment,AccountsReceivableEvaluation,Factoring,Role for Exchange Accounts Receivable Evaluation Fulfillment service operation
Exchange Accounts Receivable Purchase Fulfillment,AccountsReceivablePurchase,Factoring,Role for Exchange Accounts Receivable Purchase Fulfillment service operation
Execute Account Receivable Factoring Fulfillment,AccountReceivableFactoring,Factoring,Role for Execute Account Receivable Factoring Fulfillment service operation
Execute Account Receivable Processing Fulfillment,AccountReceivableProcessing,Factoring,Role for Execute Account Receivable Processing Fulfillment service operation
Execute Accounts Receivable Evaluation Fulfillment,AccountsReceivableEvaluation,Factoring,Role for Execute Accounts Receivable Evaluation Fulfillment service operation
Execute Accounts Receivable Purchase Fulfillment,AccountsReceivablePurchase,Factoring,Role for Execute Accounts Receivable Purchase Fulfillment service operation
Initiate Account Receivable Factoring Fulfillment,AccountReceivableFactoring,Factoring,Role for Initiate Account Receivable Factoring Fulfillment service operation
Initiate Account Receivable Processing Fulfillment,AccountReceivableProcessing,Factoring,Role for Initiate Account Receivable Processing Fulfillment service operation
Initiate Accounts Receivable Evaluation Fulfillment,AccountsReceivableEvaluation,Factoring,Role for Initiate Accounts Receivable Evaluation Fulfillment service operation
Initiate Accounts Receivable Purchase Fulfillment,AccountsReceivablePurchase,Factoring,Role for Initiate Accounts Receivable Purchase Fulfillment service operation
Notify Account Receivable Factoring Fulfillment,AccountReceivableFactoring,Factoring,Role for Notify Account Receivable Factoring Fulfillment service operation
Notify Account Receivable Processing Fulfillment,AccountReceivableProcessing,Factoring,Role for Notify Account Receivable Processing Fulfillment service operation
Notify Accounts Receivable Evaluation Fulfillment,AccountsReceivableEvaluation,Factoring,Role for Notify Accounts Receivable Evaluation Fulfillment service operation
Notify Accounts Receivable Purchase Fulfillment,AccountsReceivablePurchase,Factoring,Role for Notify Accounts Receivable Purchase Fulfillment service operation
Request Account Receivable Factoring Fulfillment,AccountReceivableFactoring,Factoring,Role for Request Account Receivable Factoring Fulfillment service operation
Request Account Receivable Processing Fulfillment,AccountReceivableProcessing,Factoring,Role for Request Account Receivable Processing Fulfillment service operation
Request Accounts Receivable Evaluation Fulfillment,AccountsReceivableEvaluation,Factoring,Role for Request Accounts Receivable Evaluation Fulfillment service operation
Request Accounts Receivable Purchase Fulfillment,AccountsReceivablePurchase,Factoring,Role for Request Accounts Receivable Purchase Fulfillment service operation
Retrieve Account Receivable Factoring Fulfillment,AccountReceivableFactoring,Factoring,Role for Retrieve Account Receivable Factoring Fulfillment service operation
Retrieve Account Receivable Processing Fulfillment,AccountReceivableProcessing,Factoring,Role for Retrieve Account Receivable Processing Fulfillment service operation
Retrieve Accounts Receivable Evaluation Fulfillment,AccountsReceivableEvaluation,Factoring,Role for Retrieve Accounts Receivable Evaluation Fulfillment service operation
Retrieve Accounts Receivable Purchase Fulfillment,AccountsReceivablePurchase,Factoring,Role for Retrieve Accounts Receivable Purchase Fulfillment service operation
Update Account Receivable Factoring Fulfillment,AccountReceivableFactoring,Factoring,Role for Update Account Receivable Factoring Fulfillment service operation
Update Account Receivable Processing Fulfillment,AccountReceivableProcessing,Factoring,Role for Update Account Receivable Processing Fulfillment service operation
Update Accounts Receivable Evaluation Fulfillment,AccountsReceivableEvaluation,Factoring,Role for Update Accounts Receivable Evaluation Fulfillment service operation
Update Accounts Receivable Purchase Fulfillment,AccountsReceivablePurchase,Factoring,Role for Update Accounts Receivable Purchase Fulfillment service operation
CaCR Capture Compliance Reporting Administrative Plan activity or event related information,ComplianceReportingAdministrativePlan,Compliance Reporting,Role for Capture Compliance Reporting Administrative Plan activity or event related information service operation
InCR Instantiate a new Compliance Reporting Administrative Plan,ComplianceReportingAdministrativePlan,Compliance Reporting,Role for Instantiate a new Compliance Reporting Administrative Plan service operation
ReCR Retrieve details about any aspect of Compliance Reporting Administrative Plan,ComplianceReportingAdministrativePlan,Compliance Reporting,Role for Retrieve details about any aspect of Compliance Reporting Administrative Plan service operation
RqCR Request manual intervention or a decision with respect to Compliance Reporting Administrative Plan,ComplianceReportingAdministrativePlan,Compliance Reporting,Role for Request manual intervention or a decision with respect to Compliance Reporting Administrative Plan service operation
UpCR Update details relating to Compliance Reporting Administrative Plan,ComplianceReportingAdministrativePlan,Compliance Reporting,Role for Update details relating to Compliance Reporting Administrative Plan service operation
CaBQ Capture Compliance Assessment activity or event related information,ComplianceAssessment,Compliance Reporting,Role for Capture Compliance Assessment activity or event related information service operation
CaBQ Capture Consolidation activity or event related information,Consolidation,Compliance Reporting,Role for Capture Consolidation activity or event related information service operation
CaBQ Capture Remediation activity or event related information,Remediation,Compliance Reporting,Role for Capture Remediation activity or event related information service operation
InBQ Instantiate a new Remediation,Remediation,Compliance Reporting,Role for Instantiate a new Remediation service operation
ReBQ Retrieve details about any aspect of Compliance Assessment,ComplianceAssessment,Compliance Reporting,Role for Retrieve details about any aspect of Compliance Assessment service operation
ReBQ Retrieve details about any aspect of Consolidation,Consolidation,Compliance Reporting,Role for Retrieve details about any aspect of Consolidation service operation
ReBQ Retrieve details about any aspect of Remediation,Remediation,Compliance Reporting,Role for Retrieve details about any aspect of Remediation service operation
RqBQ Request manual intervention or a decision with respect to Compliance Assessment,ComplianceAssessment,Compliance Reporting,Role for Request manual intervention or a decision with respect to Compliance Assessment service operation
RqBQ Request manual intervention or a decision with respect to Consolidation,Consolidation,Compliance Reporting,Role for Request manual intervention or a decision with respect to Consolidation service operation
RqBQ Request manual intervention or a decision with respect to Remediation,Remediation,Compliance Reporting,Role for Request manual intervention or a decision with respect to Remediation service operation
UpBQ Update details relating to Compliance Assessment,ComplianceAssessment,Compliance Reporting,Role for Update details relating to Compliance Assessment service operation
UpBQ Update details relating to Consolidation,Consolidation,Compliance Reporting,Role for Update details relating to Consolidation service operation
UpBQ Update details relating to Remediation,Remediation,Compliance Reporting,Role for Update details relating to Remediation service operation
InCR Initiate a payment order procedure,PaymentOrderProcedure,Payment Order,Role for Initiate a payment order procedure service operation
UpCR Update details of a payment order instruction,PaymentOrderProcedure,Payment Order,Role for Update details of a payment order instruction service operation
ReCR Retrieve details about a payment order instruction,PaymentOrderProcedure,Payment Order,Role for Retrieve details about a payment order instruction service operation
